Color1,Color2,BlendColor
(0.000; 0.000; 0.000; 1.000),(0.000; 0.000; 0.000; 1.000),(0.000; 0.000; 0.000; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.000; 0.192; 1.000),(0.000; 0.000; 0.000; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.000; 0.353; 1.000),(0.000; 0.000; 0.118; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.000; 0.557; 1.000),(0.000; 0.000; 0.192; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.000; 0.757; 1.000),(0.000; 0.008; 0.251; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.000; 0.945; 1.000),(0.012; 0.008; 0.329; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.208; 0.000; 1.000),(0.027; 0.004; 0.416; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.208; 0.180; 1.000),(0.000; 0.106; 0.004; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.208; 0.345; 1.000),(0.000; 0.102; 0.110; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.208; 0.525; 1.000),(0.000; 0.090; 0.184; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.208; 0.690; 1.000),(0.000; 0.090; 0.243; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.208; 0.918; 1.000),(0.016; 0.098; 0.294; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.439; 0.000; 1.000),(0.035; 0.098; 0.392; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.439; 0.165; 1.000),(0.020; 0.212; 0.000; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.439; 0.388; 1.000),(0.016; 0.212; 0.082; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.439; 0.545; 1.000),(0.012; 0.196; 0.192; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.439; 0.749; 1.000),(0.020; 0.196; 0.251; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.439; 0.961; 1.000),(0.035; 0.204; 0.318; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.663; 0.000; 1.000),(0.051; 0.212; 0.404; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.663; 0.220; 1.000),(0.008; 0.318; 0.000; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.663; 0.420; 1.000),(0.012; 0.310; 0.114; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.663; 0.608; 1.000),(0.016; 0.298; 0.208; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.663; 0.765; 1.000),(0.027; 0.302; 0.282; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.663; 0.973; 1.000),(0.039; 0.310; 0.337; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.835; 0.000; 1.000),(0.055; 0.322; 0.416; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.835; 0.188; 1.000),(0.004; 0.396; 0.004; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.835; 0.373; 1.000),(0.008; 0.388; 0.102; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.835; 0.533; 1.000),(0.016; 0.384; 0.192; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.835; 0.710; 1.000),(0.024; 0.384; 0.259; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.000; 0.835; 0.914; 1.000),(0.035; 0.388; 0.329; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.000; 0.000; 1.000),(0.047; 0.404; 0.404; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.000; 0.184; 1.000),(0.114; 0.000; 0.000; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.000; 0.396; 1.000),(0.122; 0.000; 0.082; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.000; 0.596; 1.000),(0.122; 0.012; 0.173; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.000; 0.757; 1.000),(0.125; 0.024; 0.259; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.000; 0.949; 1.000),(0.129; 0.024; 0.333; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.173; 0.000; 1.000),(0.141; 0.020; 0.420; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.173; 0.173; 1.000),(0.114; 0.086; 0.000; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.173; 0.337; 1.000),(0.114; 0.086; 0.086; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.173; 0.498; 1.000),(0.114; 0.090; 0.161; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.173; 0.675; 1.000),(0.122; 0.102; 0.224; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.173; 0.859; 1.000),(0.133; 0.110; 0.290; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.349; 0.000; 1.000),(0.141; 0.106; 0.376; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.349; 0.231; 1.000),(0.114; 0.173; 0.000; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.349; 0.435; 1.000),(0.114; 0.169; 0.114; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.349; 0.643; 1.000),(0.122; 0.169; 0.208; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.349; 0.839; 1.000),(0.137; 0.176; 0.286; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.510; 0.000; 1.000),(0.153; 0.188; 0.361; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.510; 0.165; 1.000),(0.110; 0.243; 0.000; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.510; 0.396; 1.000),(0.114; 0.243; 0.078; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.510; 0.561; 1.000),(0.125; 0.231; 0.200; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.510; 0.753; 1.000),(0.137; 0.235; 0.263; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.510; 0.941; 1.000),(0.149; 0.243; 0.333; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.690; 0.000; 1.000),(0.169; 0.251; 0.404; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.690; 0.173; 1.000),(0.102; 0.325; 0.004; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.690; 0.333; 1.000),(0.114; 0.322; 0.094; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.690; 0.537; 1.000),(0.125; 0.310; 0.176; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.690; 0.710; 1.000),(0.137; 0.310; 0.263; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.690; 0.871; 1.000),(0.149; 0.318; 0.329; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.910; 0.000; 1.000),(0.161; 0.329; 0.388; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.910; 0.196; 1.000),(0.102; 0.431; 0.016; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.910; 0.412; 1.000),(0.110; 0.424; 0.114; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.910; 0.627; 1.000),(0.125; 0.420; 0.216; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.227; 0.910; 0.839; 1.000),(0.137; 0.424; 0.306; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.000; 0.000; 1.000),(0.153; 0.435; 0.392; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.000; 0.196; 1.000),(0.224; 0.000; 0.008; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.000; 0.404; 1.000),(0.224; 0.000; 0.098; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.000; 0.569; 1.000),(0.216; 0.020; 0.188; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.000; 0.769; 1.000),(0.216; 0.031; 0.259; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.000; 0.953; 1.000),(0.220; 0.035; 0.353; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.157; 0.000; 1.000),(0.227; 0.031; 0.435; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.157; 0.204; 1.000),(0.212; 0.075; 0.012; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.157; 0.408; 1.000),(0.208; 0.078; 0.106; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.157; 0.620; 1.000),(0.212; 0.098; 0.192; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.157; 0.851; 1.000),(0.220; 0.114; 0.282; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.388; 0.000; 1.000),(0.227; 0.110; 0.388; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.388; 0.157; 1.000),(0.180; 0.196; 0.000; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.388; 0.380; 1.000),(0.180; 0.196; 0.071; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.388; 0.537; 1.000),(0.204; 0.196; 0.192; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.388; 0.745; 1.000),(0.216; 0.204; 0.259; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.388; 0.957; 1.000),(0.227; 0.216; 0.341; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.600; 0.000; 1.000),(0.239; 0.212; 0.435; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.600; 0.188; 1.000),(0.161; 0.278; 0.004; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.600; 0.365; 1.000),(0.176; 0.282; 0.098; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.600; 0.576; 1.000),(0.204; 0.282; 0.192; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.600; 0.808; 1.000),(0.220; 0.286; 0.282; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.757; 0.000; 1.000),(0.235; 0.298; 0.376; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.757; 0.196; 1.000),(0.161; 0.353; 0.016; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.757; 0.416; 1.000),(0.184; 0.353; 0.118; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.757; 0.604; 1.000),(0.208; 0.345; 0.224; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.757; 0.812; 1.000),(0.224; 0.349; 0.302; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.945; 0.000; 1.000),(0.235; 0.361; 0.384; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.945; 0.208; 1.000),(0.169; 0.447; 0.024; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.945; 0.400; 1.000),(0.188; 0.447; 0.129; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.945; 0.573; 1.000),(0.204; 0.443; 0.220; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.945; 0.776; 1.000),(0.216; 0.443; 0.294; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.404; 0.945; 0.941; 1.000),(0.227; 0.455; 0.376; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.000; 0.000; 1.000),(0.239; 0.459; 0.443; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.000; 0.161; 1.000),(0.302; 0.000; 0.008; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.000; 0.373; 1.000),(0.302; 0.000; 0.082; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.000; 0.569; 1.000),(0.298; 0.016; 0.180; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.000; 0.749; 1.000),(0.298; 0.031; 0.271; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.000; 0.953; 1.000),(0.302; 0.035; 0.357; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.196; 0.000; 1.000),(0.310; 0.035; 0.451; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.196; 0.192; 1.000),(0.278; 0.106; 0.008; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.196; 0.416; 1.000),(0.286; 0.106; 0.102; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.196; 0.631; 1.000),(0.294; 0.122; 0.204; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.196; 0.847; 1.000),(0.302; 0.133; 0.302; 1.000)
(0.000; 0.000; 0.000; 1.000),(0.576; 0.412; 0.000; 1.000),(0.310; 0.129; 0.404; 1.000)
